[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Title DE->TR] İlerleme 500/735 | ok=500 fail=0 | hız=0.94/sn | kalan~4.1 dk
[Title DE->TR] İlerleme 525/735 | ok=525 fail=0 | hız=0.92/sn | kalan~3.8 dk
[Title DE->TR] İlerleme 550/735 | ok=550 fail=0 | hız=0.90/sn | kalan~3.4 dk
[Title DE->TR] İlerleme 575/735 | ok=575 fail=0 | hız=0.89/sn | kalan~3.0 dk
[Title DE->TR] İlerleme 600/735 | ok=600 fail=0 | hız=0.88/sn | kalan~2.6 dk
[Title DE->TR] İlerleme 625/735 | ok=625 fail=0 | hız=0.87/sn | kalan~2.1 dk
[Title DE->TR] İlerleme 650/735 | ok=650 fail=0 | hız=0.85/sn | kalan~1.7 dk
[Title DE->TR] Çeviri hatası [658/735] (deneme 1/3): The read operation timed out
[Title DE->TR] İlerleme 675/735 | ok=675 fail=0 | hız=0.84/sn | kalan~1.2 dk
[Title DE->TR] İlerleme 700/735 | ok=700 fail=0 | hız=0.82/sn | kalan~0.7 dk
[Title DE->TR] İlerleme 725/735 | ok=725 fail=0 | hız=0.82/sn | kalan~0.2 dk
[Title DE->TR] İlerleme 735/735 | ok=735 fail=0 | hız=0.82/sn | kalan~0.0 dk

[3/6] Category çevirileri başlıyor...
[Cat EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=108
[Cat EN->TR] İlerleme 10/108 | ok=10 fail=0 | hız=1.91/sn | kalan~0.9 dk
[Cat EN->TR] İlerleme 20/108 | ok=20 fail=0 | hız=1.62/sn | kalan~0.9 dk
[Cat EN->TR] İlerleme 30/108 | ok=30 fail=0 | hız=1.49/sn | kalan~0.9 dk
[Cat EN->TR] İlerleme 40/108 | ok=40 fail=0 | hız=1.35/sn | kalan~0.8 dk
[Cat EN->TR] İlerleme 50/108 | ok=50 fail=0 | hız=1.23/sn | kalan~0.8 dk
[Cat EN->TR] İlerleme 60/108 | ok=60 fail=0 | hız=1.24/sn | kalan~0.6 dk
[Cat EN->TR] İlerleme 70/108 | ok=70 fail=0 | hız=1.25/sn | kalan~0.5 dk
